"","Status","Message","Result.carparkNo","easting","northing","Result.lotsAvailable","Result.lotType","long","lat"
"1","Success","","A0046",33394.2043,32909.1642,"1","C",103.88178819343,1.3138928367746
"2","Success","","D0026",30253.4988,32024.8859,"0","C",103.853567326941,1.30589612659938
"3","Success","","H0015",30308.9887,32322.7756,"4","C",103.854065951895,1.30859013177546
"4","Success","","J0100",23792.7911,28505.857,"48","C",103.795515298139,1.27407106795278
"5","Success","","K0039",31186.6906,32479.9759,"31","C",103.861952540671,1.31001171760445
"6","Success","","S0049",30812.1957,33019.1062,"74","C",103.858587571397,1.31488745771908
"7","Success","","S0106",28305.4423,37641.7002,"59","C",103.836063177993,1.3566926857452
"8","Success","","T0103",35511.469,32795.0198,"91","C",103.900812836777,1.3128601116288
"9","Success","","T0141",35074.4107,31807.0192,"28","C",103.896885428988,1.3039250916365
"10","Success","","B0031",30925.4708,32933.2541,"0","C",103.859605396937,1.31411103114623
"11","Success","","H0022",28637.0785,31726.799,"18","C",103.839043023507,1.30320040913198
"12","Success","","H0024",29559.0015,29869.2184,"10","C",103.847326834849,1.28640107121061
"13","Success","","J0054",30879.7936,32867.7523,"15","C",103.859194958395,1.31351866035803
"14","Success","","K0111",30218.9526,32450.3014,"6","C",103.853256943419,1.30974343666806
"15","Success","","L0078",36742.91,33491.4403,"9","C",103.911878132693,1.31915796159344
"16","Success","","N0006",28956.4609,29088.2522,"4","C",103.84191274173,1.27933831099856
"17","Success","","P0048",28803.4452,29531.6622,"18","C",103.840537849091,1.28334835978483
"18","Success","","P0093",23808.9184,28797.034,"18","C",103.795660169403,1.27670437232829
"19","Success","","S0171",28193.7117,28684.7201,"91","C",103.835059149692,1.27568892192339
"20","Success","","T0129",34890.0649,33240.6285,"127","C",103.895229315674,1.31689018239295
"21","Success","","A0017",30638.3394,31698.2199,"68","C",103.857025273116,1.30294184422622
"22","Success","","A0024",25838.802,34044.9773,"58","C",103.813899056257,1.3241651253008
"23","Success","","A0035",28397.8012,32511.4312,"41","C",103.836893016545,1.31029635016548
"24","Success","","C0119",35357.921,32462.723,"4","C",103.899433053976,1.30985497570257
"25","Success","","C0133",29654.2722,30075.4067,"31","C",103.848182891177,1.28826576087842
"26","Success","","C0162",29246.2593,30706.5089,"4","C",103.844516753494,1.29397324618353
"27","Success","","D0006",29085.9986,29064.2635,"0","C",103.843076686054,1.27912136142454
"28","Success","","H0004",23475.1478,32692.9626,"77","C",103.792660556946,1.3119377259855
"29","Success","","H0057",30357.0756,32253.0344,"6","C",103.854498030488,1.3079594133634
"30","Success","","L0064",33177.6203,32903.5269,"21","C",103.879842077735,1.31384189225991
"31","Success","","L0117",33510.0475,33077.0824,"0","C",103.882829131969,1.31541140859078
"32","Success","","M0088",24627.6397,31419.3749,"47","C",103.803016400321,1.30041999712014
"33","Success","","P0054",23324.7961,28741.2253,"44","C",103.791310161381,1.27619959028688
"34","Success","","P0106",20744.5188,30443.9423,"33","C",103.768125043703,1.29159786910618
"35","Success","","Q0006",30230.7932,31364.3729,"0","C",103.853363259266,1.29992268165979
"36","Success","","S0055",31673.3236,38317.0261,"59","C",103.866325878255,1.36279986669713
"37","Success","","S0166",27980.5079,48368.2132,"50","C",103.833143421769,1.45369941078124
