"","Result.ppCode","Result.parkCapacity","Result.remarks","long","lat","FirstHourPrice1","SubHalfHourPrice1","EntryPrice1","FirstHourPrice2","SubHalfHourPrice2","EntryPrice2","FirstHourPrice3","SubHalfHourPrice3","EntryPrice3","FirstHourPrice4","SubHalfHourPrice4","EntryPrice4"
"1","A0004",69,NA,103.860841193303,1.3026422199372,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA
"2","A0005",16,NA,103.859134042612,1.31049726379372,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA
"3","A0006",81,NA,103.847231053752,1.2811858670983,2.4,1.2,NA,2.4,1.2,NA,2.4,1.2,NA,1.2,0.6,NA
"4","A0007",268,NA,103.829570695145,1.30532803132228,2.6,1.3,NA,2.6,1.3,NA,2.6,1.3,NA,1.4,0.7,NA
"5","A0008",26,"No Parking on Friday & Saturday (including public holidays) from 7.00pm to 2.00am",103.845853102326,1.28088138452775,2.4,1.2,NA,2.4,1.2,NA,2.4,1.2,NA,1.2,0.6,NA
"6","A0010",88,NA,103.858208452898,1.3022599571414,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA
"7","A0011",45,NA,103.848866061879,1.2939260442331,2.4,1.2,NA,2.4,1.2,NA,2.4,1.2,NA,1.2,0.6,NA
"8","A0017",148,NA,103.857025273116,1.30294184422622,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA
"9","A0021",16,NA,103.847177342397,1.28079042298081,3,1.5,NA,3,1.5,NA,2.4,1.2,NA,1.2,0.6,NA
"10","A0024",64,NA,103.813899056257,1.3241651253008,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA
"11","A0025",12,NA,103.814120902239,1.32447746291247,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA
"12","A0028",19,NA,103.879648385243,1.3254396878539,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,0,0,NA
"13","A0034",12,NA,103.794700235522,1.3306594562882,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,0,0,NA
"14","A0035",50,NA,103.836893016545,1.31029635016548,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA
"15","A0036",15,"Parking charge between 10.30pm & 7am is capped at $5.",103.845144772815,1.38695769002203,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA
"16","A0037",11,"Parking charge between 10.30pm & 7am is capped at $5.",103.849233473681,1.3877063256836,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA
"17","A0043",21,"Reserved for Season Ticket Holders from 7.00 pm to 7.00 am daily.",103.788885538278,1.2934003205032,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA,1.2,0.6,NA
