Carpark ,5am ,6am,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm,12pm,max
A0046,4,1,0,1,2,3,4,7,8,8,6,2,6,7,4,1,0,1,2,7,8
D0026,0,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,25
H0015,5,8,5,3,4,4,9,10,10,10,10,8,0,0,5,8,5,3,4,10,10
J0100,49,47,45,29,47,48,49,49,52,52,49,46,48,44,49,47,45,29,47,49,52
J0122,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,3
K0039,39,40,40,42,39,49,48,51,57,52,42,41,44,43,39,40,40,42,39,51,57
M0078,3,12,17,55,105,143,199,222,248,152,90,61,50,32,3,12,17,55,105,222,248
S0049,71,73,77,78,78,83,87,85,87,91,86,83,75,78,71,73,77,78,78,85,91
S0106,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
S0112,64,64,60,75,94,117,151,189,198,145,152,141,134,123,64,64,60,75,94,189,198
T0103,87,128,132,81,106,147,157,162,174,173,135,94,92,86,87,128,132,81,106,162,174
T0141,18,24,27,18,19,28,31,31,33,33,23,24,25,27,18,24,27,18,19,31,33
A0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D0026,4,5,5,4,6,6,6,6,6,6,5,6,5,5,4,5,5,4,6,6,6
E0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0022,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
H0024,10,12,15,12,10,18,19,19,21,20,13,10,10,13,10,12,15,12,10,19,21
J0054,8,13,8,5,20,8,2,5,25,27,25,17,22,15,8,13,8,5,20,5,27
J0100,4,4,5,5,5,5,5,5,5,4,5,5,4,5,4,4,5,5,5,5,5
K0111,0,0,0,0,0,13,0,0,0,0,65,30,0,0,0,0,49,63,78,78,78
L0078,5,3,0,0,0,8,7,12,18,16,12,10,9,10,5,3,0,0,0,12,18
N0006,3,3,9,1,6,8,12,13,15,15,14,11,5,1,3,3,9,1,6,13,15
P0048,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
P0093,14,12,18,17,18,19,19,19,18,19,17,17,19,17,14,12,18,17,18,19,19
S0171,97,99,97,99,99,99,99,101,102,100,97,98,98,102,97,99,97,99,99,101,102
T0129,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
A0017,57,46,64,75,106,122,126,128,132,133,121,114,111,83,57,46,64,75,106,128,133
A0017,0,0,0,2,2,0,0,1,3,3,1,1,1,0,0,0,0,2,2,1,3
A0024,62,63,63,63,63,64,64,64,64,64,61,62,63,64,62,63,63,63,63,64,64
A0035,47,47,47,48,50,49,50,49,50,50,49,49,47,47,47,47,47,48,50,49,50
C0119,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C0133,41,47,41,24,24,11,19,23,43,70,64,53,56,51,41,47,41,24,24,23,70
C0162,19,10,25,26,28,26,26,26,28,15,0,0,0,2,19,10,25,26,28,26,28
D0006,21,21,17,0,0,2,9,9,0,1,2,8,3,0,0,0,0,0,0,9,21
H0004,78,76,79,77,80,80,81,81,82,80,81,79,79,80,78,76,79,77,80,81,82
H0057,7,10,9,11,11,13,13,14,14,13,6,11,8,8,7,10,9,11,11,14,14
L0064,19,20,22,3,1,14,17,21,25,24,23,24,20,12,19,20,22,3,1,21,25
L0104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L0117,20,41,27,5,29,38,43,52,93,86,88,78,74,45,20,41,27,5,29,52,93
M0059,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29
M0088,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
P0054,38,53,38,30,39,53,56,58,57,52,43,46,47,45,38,53,38,30,39,58,58
P0093,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8
P0106,26,29,27,12,10,11,4,7,37,36,28,22,16,15,26,29,27,12,10,7,37
P0117,44,43,47,49,48,52,53,53,54,49,45,42,41,38,44,43,47,49,48,53,54
Q0006,0,0,0,3,11,29,20,15,78,0,0,0,0,0,0,0,0,3,11,15,78
S0055,34,71,68,40,69,68,76,78,80,34,0,0,0,21,34,71,68,40,69,78,80
S0166,42,48,39,11,23,27,20,27,53,51,45,47,46,42,42,48,39,11,23,27,53
T0140,70,86,90,44,92,102,112,118,119,119,91,85,69,59,70,86,90,44,92,118,119
V0007,0,2,1,0,2,0,1,0,7,18,5,1,0,0,0,2,1,0,2,0,18
A0007,0,0,15,33,131,187,194,197,249,268,232,170,73,0,0,0,15,33,131,197,268
B0063,4,4,4,4,4,4,4,4,4,1,3,4,3,3,4,4,4,4,4,4,4
C0162,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
H0011,177,189,212,170,190,227,241,251,265,254,207,183,163,138,177,189,212,170,190,251,265
K0037,14,10,12,5,11,19,19,19,20,20,18,19,18,17,14,10,12,5,11,19,20
K0082,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
K0082,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
L0116,0,0,0,0,0,0,0,0,4,6,0,0,1,0,0,0,0,0,0,0,6
M0076,83,92,88,57,98,107,107,108,111,111,108,103,102,86,83,92,88,57,98,108,111
M0084,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
N0012,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
N0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0013,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
P0111,4,8,11,0,11,17,23,25,29,29,28,22,18,3,4,8,11,0,11,25,29
P0117,56,95,89,35,90,127,131,137,138,135,125,116,97,41,56,95,89,35,90,137,138
W0029,63,60,63,66,65,65,65,66,66,64,59,56,56,59,63,60,63,66,65,66,66
W0055,0,6,8,2,3,17,21,27,38,23,0,0,0,0,0,6,8,2,3,27,38
A0011,16,5,16,41,40,43,43,43,45,44,41,41,41,34,16,5,16,41,40,43,45
A0021,4,9,14,8,11,12,13,14,14,14,12,10,10,7,4,9,14,8,11,14,14
B0063,101,92,102,104,103,104,104,102,101,48,51,66,74,93,101,92,102,104,103,102,104
C0148,208,221,187,159,175,187,223,233,233,192,185,178,180,167,208,221,187,159,175,233,233
E0023,37,32,0,25,30,37,37,38,40,40,39,39,40,39,37,32,0,25,30,38,40
K0121,0,0,18,1,20,34,39,40,46,41,26,9,0,0,0,0,18,1,20,40,46
L0104,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
M0040,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
M0076,8,8,8,8,8,8,9,9,9,9,9,9,9,9,8,8,8,8,8,9,9
P0033,198,194,195,185,189,193,202,209,221,222,214,206,210,199,198,194,195,185,189,209,222
P0048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0096,3,0,0,9,0,0,0,0,0,0,0,15,6,0,3,0,0,9,0,0,15
T0017,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Y0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0027,458,385,345,334,411,454,479,492,532,530,526,515,515,492,458,385,345,334,411,492,532
J0017,19,36,46,0,9,40,46,49,66,63,27,11,0,0,19,36,46,0,9,49,66
J0054,3,0,0,0,4,4,4,4,5,5,5,4,4,8,3,0,0,0,4,4,8
J0055,55,82,80,9,25,54,67,79,126,110,51,26,10,0,55,82,80,9,25,79,126
L0107,9,6,8,1,2,3,1,1,15,17,20,15,17,10,9,6,8,1,2,1,20
L0125,20,30,33,12,30,34,37,42,48,48,47,44,40,38,20,30,33,12,30,42,48
M0059,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
O0028,34,35,34,4,25,25,31,34,36,36,35,35,33,32,34,35,34,4,25,34,36
P0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S0108,28,26,28,28,27,27,27,27,28,28,28,27,28,27,28,26,28,28,27,27,28
S0108,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
U0042,1,21,3,0,10,20,20,21,48,48,44,38,31,0,1,21,3,0,10,21,48
B0032,35,66,21,35,101,115,117,117,100,47,10,0,1,0,35,66,21,35,101,117,117
B0087,4,1,3,1,13,15,21,18,25,25,20,14,11,2,4,1,3,1,13,18,25
B0088,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
E0023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J0092,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
L0078,8,8,8,7,7,8,8,8,8,6,7,7,7,6,8,8,8,7,7,8,8
L0123,25,33,33,5,16,16,11,13,45,47,46,44,47,42,25,33,33,5,16,13,47
L0124,6,8,14,13,12,13,14,15,20,17,13,8,12,3,6,8,14,13,12,15,20
P0094,11,12,12,12,13,13,13,13,13,13,13,13,13,13,11,12,12,12,13,13,13
P0113,69,66,68,59,73,72,70,72,71,65,68,64,64,66,69,66,68,59,73,72,73
Q0008,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
S0150,15,20,28,1,24,36,43,48,51,51,51,49,46,35,15,20,28,1,24,48,51
T0103,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10
C0133,0,0,0,0,0,0,0,0,0,7,8,6,5,3,0,0,0,0,0,0,8
D0028,147,146,144,144,137,134,134,133,135,138,147,148,147,145,147,146,144,144,137,133,148
E0024,41,0,0,0,29,75,127,179,244,208,143,92,63,36,41,0,0,0,29,179,244
E0027,1,0,0,0,0,0,0,0,3,3,3,0,11,12,1,0,0,0,0,0,12
H0003,14,14,16,0,0,10,3,3,3,16,15,9,11,2,3,3,3,0,0,14,16
J0122,133,151,149,123,104,91,108,129,183,171,152,116,111,101,133,151,149,123,104,129,183
K0111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L0116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L0123,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2
P0075,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
P0094,20,20,22,23,23,21,22,21,23,21,21,21,19,16,20,20,22,23,23,21,23
P0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q0006,0,0,0,0,0,0,2,2,5,4,1,0,0,0,0,0,0,0,0,2,5
S0020,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
U0036,62,81,90,87,89,105,115,122,127,116,87,62,57,44,62,81,90,87,89,122,127
Y0019,12,14,15,7,11,13,15,15,15,14,15,14,14,14,12,14,15,7,11,15,15
